year,team,avg_matchup_diff
2018,Arizona Cardinals,-154.73585848077548
2018,Atlanta Falcons,-39.236065259609404
2018,Baltimore Ravens,35.94559037468437
2018,Buffalo Bills,-76.21805562746297
2018,Carolina Panthers,-21.333969528144138
2018,Chicago Bears,96.4554786508897
2018,Cincinnati Bengals,-45.70528644819865
2018,Cleveland Browns,-48.24901704192436
2018,Dallas Cowboys,15.763742928016882
2018,Denver Broncos,-40.93203834718331
2018,Detroit Lions,-66.16049708433617
2018,Green Bay Packers,-9.840859100534246
2018,Houston Texans,77.91788590297662
2018,Indianapolis Colts,41.65242343417838
2018,Jacksonville Jaguars,-80.4284924529257
2018,Kansas City Chiefs,124.98704748392123
2018,Las Vegas Raiders,-158.4791489117486
2018,Los Angeles Chargers,107.80527510224304
2018,Los Angeles Rams,150.72732023670378
2018,Miami Dolphins,-17.760999606172973
2018,Minnesota Vikings,9.31670019624751
2018,New England Patriots,89.5192033427171
2018,New Orleans Saints,150.02979432974962
2018,New York Giants,-95.07935232130724
2018,New York Jets,-85.15401252695457
2018,Philadelphia Eagles,-9.17234461650835
2018,Pittsburgh Steelers,49.31920320255297
2018,San Francisco 49ers,-121.1841017706772
2018,Seattle Seahawks,59.442551379678875
2018,Tampa Bay Buccaneers,-66.35785830254977
2018,Tennessee Titans,13.965036534949803
2018,Washington Commanders,-2.6088553206025438
2019,Arizona Cardinals,-198.00335915353045
2019,Atlanta Falcons,-110.32317637380778
2019,Baltimore Ravens,197.928682977889
2019,Buffalo Bills,44.32801410176758
2019,Carolina Panthers,-81.41896960929303
2019,Chicago Bears,39.90009317164501
2019,Cincinnati Bengals,-234.6903265633623
2019,Cleveland Browns,-30.49868278944082
2019,Dallas Cowboys,70.46326556971104
2019,Denver Broncos,-111.35145020574178
2019,Detroit Lions,-113.15970493968838
2019,Green Bay Packers,76.41780299069222
2019,Houston Texans,52.27806342117708
2019,Indianapolis Colts,76.62393821390465
2019,Jacksonville Jaguars,-101.80767340190374
2019,Kansas City Chiefs,143.17007882856274
2019,Las Vegas Raiders,-85.231733290935
2019,Los Angeles Chargers,6.520108209838057
2019,Los Angeles Rams,115.128118808935
2019,Miami Dolphins,-192.39037911067155
2019,Minnesota Vikings,89.2338283197989
2019,New England Patriots,257.55424505006323
2019,New Orleans Saints,206.01395031367534
2019,New York Giants,-138.65023173059907
2019,New York Jets,-149.76304418444312
2019,Philadelphia Eagles,62.84309473454653
2019,Pittsburgh Steelers,25.867795237220577
2019,San Francisco 49ers,104.70867196488277
2019,Seattle Seahawks,111.28113100807259
2019,Tampa Bay Buccaneers,-94.09405235108117
2019,Tennessee Titans,11.072505940785947
2019,Washington Commanders,-187.69706821242744
2020,Arizona Cardinals,-15.151202429797422
2020,Atlanta Falcons,-129.8678597704773
2020,Baltimore Ravens,192.78421485431488
2020,Buffalo Bills,95.85173425234989
2020,Carolina Panthers,-161.37091437276376
2020,Chicago Bears,14.367692233862579
2020,Cincinnati Bengals,-211.75383157543928
2020,Cleveland Browns,28.147951696792447
2020,Dallas Cowboys,-42.92712300788136
2020,Denver Broncos,-114.38645877694145
2020,Detroit Lions,-157.71072324631461
2020,Green Bay Packers,201.47276450358817
2020,Houston Texans,-63.886336920443966
2020,Indianapolis Colts,63.05757388208546
2020,Jacksonville Jaguars,-272.80371968980256
2020,Kansas City Chiefs,308.5335708899287
2020,Las Vegas Raiders,-52.425158623353326
2020,Los Angeles Chargers,-106.01936117444909
2020,Los Angeles Rams,96.22626799497107
2020,Miami Dolphins,-9.904906080947782
2020,Minnesota Vikings,6.114617679783976
2020,New England Patriots,5.929627284347987
2020,New Orleans Saints,179.44796563871648
2020,New York Giants,-162.45914480595468
2020,New York Jets,-257.6315901886291
2020,Philadelphia Eagles,-84.6649972671015
2020,Pittsburgh Steelers,158.33722724233294
2020,San Francisco 49ers,56.095328740890935
2020,Seattle Seahawks,137.8213223967119
2020,Tampa Bay Buccaneers,74.70220965463966
2020,Tennessee Titans,144.96586388860555
2020,Washington Commanders,-127.11496714845671
2021,Arizona Cardinals,107.48362168043958
2021,Atlanta Falcons,-88.07898546783022
2021,Baltimore Ravens,97.7111687867224
2021,Buffalo Bills,198.8954751237366
2021,Carolina Panthers,-139.69953984346526
2021,Chicago Bears,-85.18911510123996
2021,Cincinnati Bengals,-39.52420697906708
2021,Cleveland Browns,12.857014443494483
2021,Dallas Cowboys,73.60190208945978
2021,Denver Broncos,-47.87484297663368
2021,Detroit Lions,-276.84957690656955
2021,Green Bay Packers,199.52352806728575
2021,Houston Texans,-206.68285467383217
2021,Indianapolis Colts,68.98235266983693
2021,Jacksonville Jaguars,-303.7940272355195
2021,Kansas City Chiefs,182.7417405306172
2021,Las Vegas Raiders,-35.257290316396976
2021,Los Angeles Chargers,13.87683729695764
2021,Los Angeles Rams,148.04388133487578
2021,Miami Dolphins,-14.93907278287916
2021,Minnesota Vikings,-31.744742942468548
2021,New England Patriots,43.387919091890026
2021,New Orleans Saints,97.21599887221882
2021,New York Giants,-165.2000867558294
2021,New York Jets,-219.55782141309768
2021,Philadelphia Eagles,-43.61900979520031
2021,Pittsburgh Steelers,-1.9787237816689438
2021,San Francisco 49ers,16.958923603819436
2021,Seattle Seahawks,4.385870038901604
2021,Tampa Bay Buccaneers,253.76085530190485
2021,Tennessee Titans,135.96132062719937
2021,Washington Commanders,-97.61007837241684
2022,Arizona Cardinals,-111.55176060461119
2022,Atlanta Falcons,-79.8320821126448
2022,Baltimore Ravens,48.123795398614675
2022,Buffalo Bills,201.07879800505398
2022,Carolina Panthers,-159.0115949142255
2022,Chicago Bears,-165.19825113646266
2022,Cincinnati Bengals,111.1095499879906
2022,Cleveland Browns,-51.1255129382064
2022,Dallas Cowboys,139.427122510138
2022,Denver Broncos,-149.5537800584993
2022,Detroit Lions,-96.4646189481779
2022,Green Bay Packers,27.539243548524194
2022,Houston Texans,-233.5427727034641
2022,Indianapolis Colts,-40.40652872879542
2022,Jacksonville Jaguars,-140.77123134171038
2022,Kansas City Chiefs,255.72609690733103
2022,Las Vegas Raiders,-71.31986753359905
2022,Los Angeles Chargers,38.16643954706452
2022,Los Angeles Rams,16.056381798157403
2022,Miami Dolphins,41.5366520325923
2022,Minnesota Vikings,117.6234228327104
2022,New England Patriots,11.317166967847163
2022,New Orleans Saints,-34.989521924380426
2022,New York Giants,-68.88229658423813
2022,New York Jets,-114.85400645940189
2022,Philadelphia Eagles,166.51422198114693
2022,Pittsburgh Steelers,-18.32132523168767
2022,San Francisco 49ers,163.99772159830462
2022,Seattle Seahawks,6.4400033505974585
2022,Tampa Bay Buccaneers,42.86076692058418
2022,Tennessee Titans,53.90592245405966
2022,Washington Commanders,-43.028171602490254
2023,Arizona Cardinals,-245.6432632810424
2023,Atlanta Falcons,-20.173804038760956
2023,Baltimore Ravens,114.84443501896146
2023,Buffalo Bills,133.08038107509904
2023,Carolina Panthers,-174.26886160139887
2023,Chicago Bears,-162.43717421070346
2023,Cincinnati Bengals,79.81549052402039
2023,Cleveland Browns,40.06864710558258
2023,Dallas Cowboys,160.70543705236548
2023,Denver Broncos,-94.4437665307279
2023,Detroit Lions,105.99156682583983
2023,Green Bay Packers,9.102840751689069
2023,Houston Texans,-62.44045042766538
2023,Indianapolis Colts,-46.05505624149987
2023,Jacksonville Jaguars,56.24766947617462
2023,Kansas City Chiefs,216.48837677074047
2023,Las Vegas Raiders,-51.57742934602585
2023,Los Angeles Chargers,-71.59068891161883
2023,Los Angeles Rams,-28.778205149151923
2023,Miami Dolphins,63.7200877135804
2023,Minnesota Vikings,1.1633395932243167
2023,New England Patriots,-126.99238175946844
2023,New Orleans Saints,31.95192176541277
2023,New York Giants,-131.48643777107762
