year,team,avg_elo,max_elo,min_elo
2018,Arizona Cardinals,1350.0267845098863,1450.0,1258.811408458516
2018,Atlanta Falcons,1440.4753641469645,1504.2494366211774,1361.7006184844456
2018,Baltimore Ravens,1562.1879667044695,1635.351569224852,1501.0638346728117
2018,Buffalo Bills,1399.7481994695663,1465.82849676845,1326.9366507206144
2018,Carolina Panthers,1505.6916873872458,1607.3739605973497,1376.519064835817
2018,Chicago Bears,1583.9671976709656,1695.0697974850136,1475.54797383506
2018,Cincinnati Bengals,1484.1616605399754,1589.6665877973287,1379.448993061761
2018,Cleveland Browns,1469.3208251084998,1538.6061155145603,1383.8520775844102
2018,Dallas Cowboys,1526.795056420827,1618.7118980945186,1439.7948349436415
2018,Denver Broncos,1479.929151293883,1559.2714221302888,1404.596594720345
2018,Detroit Lions,1452.1527941094507,1524.2804930185648,1392.9952262600227
2018,Green Bay Packers,1481.229502686716,1524.45202616494,1417.8115464226566
2018,Houston Texans,1561.934523645996,1672.1936081740762,1414.6970238614342
2018,Indianapolis Colts,1536.6069281601146,1713.919374502923,1397.5437996018445
2018,Jacksonville Jaguars,1435.6946943602816,1563.1145416590389,1333.2971645442335
2018,Kansas City Chiefs,1639.9426264106867,1689.1593805550274,1540.118427613853
2018,Las Vegas Raiders,1357.3577326065674,1450.0,1276.759153939527
2018,Los Angeles Chargers,1599.1240853279987,1698.575395059964,1459.881572386147
2018,Los Angeles Rams,1662.814146138209,1741.1940989838658,1550.0
2018,Miami Dolphins,1479.577546853451,1578.9243135654924,1352.0120083964189
2018,Minnesota Vikings,1534.9329607368081,1588.4574742323966,1465.614898944894
2018,New England Patriots,1592.5213690672513,1749.4091345179029,1454.796689143717
2018,New Orleans Saints,1668.6672084508102,1762.470301184049,1462.928541572009
2018,New York Giants,1409.7373506761835,1477.232176951744,1329.891889653249
2018,New York Jets,1416.875594868952,1550.0,1308.9986726969416
2018,Philadelphia Eagles,1524.8743492725796,1656.1249652185484,1456.7081332370174
2018,Pittsburgh Steelers,1561.12405828993,1663.559417455398,1472.927173416909
2018,San Francisco 49ers,1384.8778135930204,1496.938498527673,1293.575016525164
2018,Seattle Seahawks,1549.9378729195319,1624.4923192052788,1451.09594767012
2018,Tampa Bay Buccaneers,1441.0245067921605,1560.478579387861,1358.1198819002032
2018,Tennessee Titans,1521.89594992605,1587.8025261963917,1461.3045581260262
2018,Washington Commanders,1496.0544836453093,1567.672976127027,1386.6105851980938
2019,Arizona Cardinals,1322.9144870469352,1377.3421819892783,1256.757018196507
2019,Atlanta Falcons,1420.709375971069,1513.9213021615574,1328.388822170165
2019,Baltimore Ravens,1701.0512676361209,1835.893792612966,1546.7679861454135
2019,Buffalo Bills,1526.6433302781275,1598.531020414104,1461.3298943625284
2019,Carolina Panthers,1431.4546642868968,1528.9148525617902,1306.6335189482172
2019,Chicago Bears,1546.3363854392699,1635.9778736276382,1495.0524648396197
2019,Cincinnati Bengals,1263.7643008274254,1396.4484275195284,1202.1266558193315
2019,Cleveland Browns,1474.198625450256,1533.1094436393917,1393.2011469382194
2019,Dallas Cowboys,1557.2206614910745,1624.4054416740732,1494.99122638135
